VideoGameName,PC_Windows,PC_MAC,Playstation,NintendoSwitch,Xbox,Phone_Android,Phone_iPhone,Description,YoutubeTrailerLink,AgeRating,GenreCategory,NumberofPlayers,PopularityRating
Minecraft,1,0,0,1,1,0,0,Minecraft is a game made up of blocks creatures and community. Blocks can be used to reshape the world or build fantastical creations. Creatures can be battled or befriended depending on your playstyle. Experience epic adventures solo or with friends there’s no wrong way to play.,https://www.youtube.com/watch?v=MmB9b5njVbA,Everyone10+,City Builder,5+,Very Positive
Unpacking,1,0,1,1,0,0,0,A game about taking things out of boxes and discovering a life in the process.,https://youtu.be/m8veArgF8rw,Everyone,Cozy,1,Overwhelmingly Positive
Nancy Drew: The Secret of Shadow Ranch,1,0,0,0,0,0,0,Take a Wild Ride into Terror and Trickery to Rein in a Ghostly Secret!,https://youtu.be/yi7VhQ9IlY0,Everyone,Puzzle/word/card,1,Very Positive
7 Days to End with You,1,1,1,1,1,1,1,Deduce the meanings of words the person before you uses to communicate with you. Then try to understand them like a puzzle one piece at a time,https://youtu.be/bF--XrOP9dU,Teen13+,Puzzle/word/card,1,Very Positive
Anno 1404 - History Edition,1,0,0,0,0,0,0,Relive the captivating gameplay of a true city-building classic with Anno 1404 History Edition.,https://youtu.be/kfOIkuhZG1o,Teen13+,City Builder,5+,Very Positive
Anno 1800,1,0,0,0,0,0,0,Welcome to the dawn of the Industrial Age. The path you choose will define your world. Are you an innovator or an exploiter? A conqueror or a liberator?,https://youtu.be/7ZwaZMuc1TQ,Teen13+,City Builder,5+,Very Positive
ARK: Survival Evolved,1,0,0,0,0,0,0,Stranded on the shores of a mysterious island you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land and escape!,https://youtu.be/5fIAPcVdZO8,Teen13+,Adventure/RPG,5+,Very Positive
Caesar 3,1,0,0,0,0,0,0,Prove your strength of mind and spirit and you just may be crowned Caesar!,https://youtu.be/pTu16-_mZfw,Everyone,City Builder,1,Very Positive
Castle Crashers,1,1,1,1,1,0,0,Hack slash and smash your way to victory in this award winning 2D arcade adventure from The Behemoth!,https://youtu.be/bu6Kwvd695w,Teen13+,Fighting,5+,Overwhelmingly Positive
Crab Game,1,1,0,0,0,0,0,Crab Game is a First-Person Multiplayer game where you play through several different minigames based on children's games until only one player stands victorious.,https://youtu.be/eHsIvXz6ryc,Teen13+,Party,5+,Very Positive
Fallout 3: Game of the Year Edition,1,0,1,0,1,0,0,Create a character of your choosing and descend into an awe-inspiring post-apocalyptic world where every minute is a fight for survival.,https://youtu.be/KP3HIdf6hiI,Mature17+,Adventure/RPG,1,Mostly Positive
Fallout 4,1,0,1,0,1,0,0,As the sole survivor of Vault 111 you enter a world destroyed by nuclear war. Every second is a fight for survival and every choice is yours.,https://youtu.be/WxYkD7MS4Bs,Mature17+,Adventure/RPG,1,Very Positive
Fallout: New Vegas,1,0,1,0,1,0,0,Welcome to Vegas. New Vegas. Enjoy your stay!,https://youtu.be/JanHMbRjNJ8,Mature17+,Adventure/RPG,1,Overwhelmingly Positive
Putt-Putt Joins the Parade,1,1,0,0,0,0,0,What does it take to be in a parade? Hard work a bright shiny chassis and a little help from your friends.,https://youtu.be/IliVM2j_GXA,Everyone,Adventure/RPG,1,Very Positive
Putt-Putt Saves The Zoo,1,1,1,0,0,0,0,Today's the grand opening of the Cartown Zoo and there's still so much to do: zoo chow is running low and all the baby animals are missing.,https://youtu.be/UL70R5oLvpA,Everyone,Adventure/RPG,1,Overwhelmingly Positive
Stray,1,1,1,0,1,0,0,Lost alone and separated from family a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find their way home.,https://youtu.be/kJawWyRUOBM,Everyone10+,Adventure/RPG,1,Overwhelmingly Positive
We Were Here Together,1,1,1,0,1,0,0,Through the fierce blizzard a flare lights the sky followed by a cry for help over the radio. No one else can come to their rescue. Can we make it back - together?,https://youtu.be/XhE5mPCHdY4,Teen13+,Puzzle/word/card,2,Overwhelmingly Positive
To the Moon,1,1,0,1,0,0,0,A story-driven experience about two doctors traversing backwards through a dying man's memories to artificially fulfill his last wish.,https://youtu.be/RGEovo2mdIc,Everyone,Cozy,1,Overwhelmingly Positive
This Bed We Made,1,0,1,0,1,0,0,This Bed We Made is a third-person mystery game in which you play as a maid in a 1950s hotel and snoop around strangers' rooms to uncover their deadly secrets.,https://youtu.be/I9fUfh6rSf0,Mature17+,Cozy,1,Overwhelmingly Positive
Two Point Hospital,1,1,1,1,1,0,0,Design stunning hospitals cure peculiar illnesses and manage troublesome staff as you spread your budding healthcare organisation across Two Point County.,https://youtu.be/SjrcU1gwkjc,Everyone10+,Cozy,2,Very Positive
Far Cry 4,1,0,1,0,1,0,0,Traveling to Kyrat to fulfill your mother’s dying wish you find yourself caught up in a civil war to overthrow the oppressive regime of dictator Pagan Min.,https://youtu.be/xI6uV47jKME,Mature17+,Adventure/RPG,1,Very Positive
Far Cry 5,1,0,1,0,1,0,0,Discover the open world of Hope County Montana besieged by a fanatical doomsday cult.,https://youtu.be/RARURPrkBqc,Mature17+,Adventure/RPG,2,Very Positive
Palworld,1,0,1,0,1,0,0,"Fight farm build and work alongside mysterious creatures called ""Pals"" in this completely new multiplayer open world survival and crafting game!",https://youtu.be/D9w97KSEAOo,Teen13+,Adventure/RPG,5+,Very Positive
Untitled Goose Game,1,1,1,1,1,0,0,It's a lovely morning in the village and you are a horrible goose.,https://youtu.be/9LL2AtHo1gk,Everyone,Cozy,2,Overwhelmingly Positive
